T¨ºn ?i?m,T?a ?? X,T?a ?? Y,?? cao H,Ghi ch¨²
Pt1,0.000,0.000,0.000,Auto
Pt2,0.000,0.000,0.000,Auto
Pt3,1834325.806,546863.660,5.832,Auto
Pt4,1834324.688,546864.175,5.763,Auto
Pt5,1834323.723,546864.571,5.790,Auto
Pt6,1834322.424,546864.965,5.921,Auto
Pt7,1834321.212,546865.907,5.624,Auto
Pt8,1834320.701,546867.353,5.538,Auto
Pt9,1834319.671,546868.420,5.594,Auto
Pt10,1834318.729,546869.357,5.619,Auto
Pt11,1834317.484,546870.351,5.607,Auto
Pt12,1834316.557,546871.784,5.779,Auto
Pt13,1834315.416,546872.887,5.571,Auto
Pt14,1834314.818,546874.496,5.641,Auto
Pt15,1834314.045,546876.059,5.753,Auto
Pt16,1834314.241,546877.336,5.846,Auto
Pt17,1834314.693,546879.154,5.755,Auto
Pt18,1834315.495,546880.521,5.798,Auto
Pt19,1834315.680,546881.563,5.861,Auto
Pt20,1834316.202,546883.217,6.066,Auto
Pt21,1834316.706,546884.752,5.863,Auto
Pt22,1834318.286,546885.559,5.608,Auto
Pt23,1834319.555,546886.085,5.743,Auto
Pt24,1834320.676,546886.638,5.717,Auto
Pt25,1834321.928,546887.540,5.739,Auto
Pt26,1834322.819,546888.084,5.712,Auto
Pt27,1834324.424,546889.042,5.713,Auto
Pt28,1834325.595,546889.579,5.698,Auto
Pt29,1834327.193,546889.914,5.731,Auto
Pt30,1834328.553,546889.482,6.195,Auto
Pt31,1834329.858,546889.814,6.357,Auto
Pt32,1834331.501,546889.657,6.261,Auto
Pt33,1834332.380,546890.418,5.998,Auto
Pt34,1834333.365,546891.014,5.865,Auto
Pt35,1834334.375,546890.731,5.806,Auto
Pt36,1834335.308,546890.210,5.727,Auto
Pt37,1834336.170,546889.590,5.784,Auto
Pt38,1834337.386,546888.898,5.636,Auto
Pt39,1834338.549,546888.208,5.719,Auto
Pt40,1834339.566,546887.476,5.852,Auto
Pt41,1834340.437,546886.491,5.670,Auto
Pt42,1834341.403,546885.593,5.621,Auto
Pt43,1834342.227,546884.314,5.594,Auto
Pt44,1834342.819,546883.442,5.668,Auto
Pt45,1834343.348,546882.409,5.753,Auto
Pt46,1834343.802,546881.094,5.619,Auto
Pt47,1834343.828,546879.873,5.847,Auto
Pt48,1834343.870,546878.706,6.339,Auto
Pt49,1834344.896,546878.381,5.854,Auto
Pt50,1834345.737,546877.221,5.806,Auto
Pt51,1834345.935,546876.013,5.740,Auto
Pt52,1834346.273,546874.784,5.558,Auto
Pt53,1834346.118,546873.475,5.638,Auto
Pt54,1834345.400,546872.295,5.818,Auto
Pt55,1834345.243,546870.859,5.658,Auto
Pt56,1834344.564,546869.709,5.714,Auto
Pt57,1834343.972,546868.459,5.588,Auto
Pt58,1834343.517,546867.347,5.576,Auto
Pt59,1834343.038,546866.322,5.639,Auto
Pt60,1834342.202,546865.160,5.585,Auto
Pt61,1834341.583,546864.314,5.671,Auto
Pt62,1834340.488,546863.758,5.557,Auto
Pt63,1834339.160,546863.644,5.606,Auto
Pt64,1834338.135,546863.239,5.949,Auto
Pt65,1834337.056,546862.466,5.652,Auto
Pt66,1834335.930,546862.250,5.810,Auto
Pt67,1834334.376,546861.442,5.561,Auto
Pt68,1834333.335,546860.943,5.671,Auto
Pt69,1834332.665,546862.298,6.035,Auto
Pt70,1834332.027,546863.074,6.672,Auto
Pt71,1834331.179,546864.010,7.778,Auto
Pt72,1834330.207,546864.578,8.328,Auto
Pt73,1834329.286,546866.140,8.591,Auto
Pt74,1834330.446,546866.506,8.629,Auto
Pt75,1834331.610,546865.897,8.612,Auto
Pt76,1834330.359,546866.538,9.066,Auto
Pt77,1834329.326,546867.807,8.997,Auto
Pt78,1834329.535,546869.368,9.828,Auto
Pt79,1834329.741,546870.496,10.764,Auto
Pt80,1834330.339,546871.730,11.366,Auto
Pt81,1834331.372,546872.025,11.583,Auto
Pt82,1834332.868,546871.719,11.506,Auto
Pt83,1834333.172,546870.652,11.376,Auto
Pt84,1834332.184,546870.111,11.171,Auto
Pt85,1834331.228,546870.928,11.342,Auto
Pt86,1834330.560,546872.201,11.737,Auto
Pt87,1834329.669,546872.827,11.808,Auto
Pt88,1834329.846,546874.169,12.524,Auto
Pt89,1834330.855,546874.439,12.039,Auto
Pt90,1834332.095,546874.430,12.609,Auto
Pt91,1834333.139,546873.965,13.205,Auto
Pt92,1834334.513,546873.649,12.988,Auto
Pt93,1834334.882,546875.133,12.504,Auto
Pt94,1834333.743,546875.090,12.944,Auto
Pt95,1834333.576,546876.527,12.480,Auto
Pt96,1834334.463,546877.061,11.897,Auto
Pt97,1834333.589,546877.883,12.647,Auto
Pt98,1834333.227,546878.988,12.788,Auto
Pt99,1834332.490,546880.575,12.442,Auto
Pt100,1834331.248,546880.699,12.473,Auto
Pt101,1834331.707,546879.405,12.522,Auto
Pt102,1834331.223,546878.115,12.609,Auto
Pt103,1834331.534,546877.126,12.837,Auto
Pt104,1834331.557,546875.649,12.858,Auto
Pt105,1834330.107,546875.271,12.791,Auto
Pt106,1834329.648,546876.720,13.195,Auto
Pt107,1834329.699,546878.237,13.124,Auto
Pt108,1834328.959,546879.648,13.039,Auto
Pt109,1834327.683,546879.155,12.820,Auto
Pt110,1834328.485,546878.168,12.863,Auto
Pt111,1834327.705,546877.498,12.636,Auto
Pt112,1834328.444,546875.973,12.568,Auto
Pt113,1834328.204,546874.855,12.265,Auto
Pt114,1834326.772,546874.746,12.013,Auto
Pt115,1834325.451,546874.789,11.081,Auto
Pt116,1834323.973,546874.317,10.332,Auto
Pt117,1834322.575,546874.287,9.812,Auto
Pt118,1834322.947,546875.283,9.369,Auto
Pt119,1834322.556,546876.716,9.184,Auto
Pt120,1834322.280,546877.880,8.906,Auto
Pt121,1834321.445,546879.785,8.266,Auto
Pt122,1834321.326,546881.464,7.862,Auto
Pt123,1834320.091,546880.892,8.568,Auto
Pt124,1834319.142,546880.197,8.188,Auto
Pt125,1834319.840,546878.934,8.536,Auto
Pt126,1834319.002,546877.737,8.376,Auto
Pt127,1834318.948,546876.660,8.548,Auto
Pt128,1834320.344,546876.134,9.465,Auto
Pt129,1834321.470,546875.620,9.566,Auto
Pt130,1834321.870,546874.487,9.036,Auto
Pt131,1834321.216,546873.687,8.511,Auto
